Datetime,PJME_MW,MONTHLY
2/4/24,Q. 129.00,"Q. 13,193.02"
2/4/24,Q. 143.00,"Q. 13,336.02"
2/5/24,Q. 15.00,"Q. 11,243.53"
2/5/24,Q. 6.00,"Q. 11,249.53"
2/5/24,Q. 393.75,"Q. 4,651.81"
2/7/24,Q. 11.00,"Q. 12,122.36"
2/7/24,Q. 11.00,"Q. 12,133.36"
2/7/24,Q. 48.00,"Q. 12,181.36"
2/7/24,Q. 290.00,"Q. 12,471.36"
2/7/24,Q. 131.00,"Q. 12,602.36"
2/7/24,Q. 50.00,"Q. 12,652.36"
2/7/24,Q. 131.50,"Q. 12,783.86"
2/7/24,Q. 11.00,"Q. 12,794.86"
2/7/24,Q. 197.20,"Q. 12,992.06"
2/8/24,Q. 110.00,"Q. 15,757.40"
2/8/24,Q. 111.00,"Q. 15,868.40"
2/8/24,Q. 100.00,"Q. 15,968.40"
2/10/24,Q. 100.00,"Q. 2,775.04"
2/10/24,Q. 90.97,"Q. 2,866.01"
2/10/24,Q. 217.00,"Q. 3,083.01"
2/12/24,Q. 13.50,"Q. 5,856.91"
2/12/24,Q. 358.98,"Q. 6,215.89"
2/12/24,Q. 5.00,"Q. 6,220.89"
2/12/24,Q. 18.50,"Q. 6,239.39"
2/12/24,Q. 81.50,"Q. 6,320.89"
2/12/24,Q. 203.67,"Q. 6,524.56"
2/12/24,Q. 250.00,"Q. 6,774.56"
2/12/24,Q. 50.00,"Q. 6,824.56"
2/12/24,Q. 147.00,"Q. 6,971.56"
2/12/24,Q. 5.00,"Q. 6,976.56"
2/12/24,Q. 15.00,"Q. 6,991.56"
2/12/24,Q. 13.00,"Q. 7,004.56"
2/12/24,Q. 40.00,"Q. 7,044.56"
2/12/24,Q. 120.00,"Q. 7,164.56"
2/12/24,Q. 95.00,"Q. 7,259.56"
3/4/24,Q. 279.19,"Q. 13,615.21"
3/4/24,Q. 6.00,"Q. 13,621.21"
3/4/24,Q. 371.00,"Q. 7,565.48"
3/5/24,Q. 18.00,"Q. 11,267.53"
3/5/24,Q. 279.08,"Q. 11,546.61"
3/5/24,Q. 13.00,"Q. 11,559.61"
3/5/24,Q. 145.00,"Q. 11,704.61"
3/6/24,Q. 220.33,"Q. 7,980.95"
3/6/24,Q. 15.00,"Q. 7,995.95"
3/6/24,Q. 352.00,"Q. 8,347.95"
3/6/24,Q. 480.00,"Q. 8,827.95"
3/6/24,Q. 144.00,"Q. 8,971.95"
3/6/24,Q. 168.00,"Q. 8,156.66"
3/6/24,Q. 62.00,"Q. 8,218.66"
3/6/24,Q. 5.00,"Q. 8,223.66"
3/6/24,Q. 189.50,"Q. 8,413.16"
3/6/24,Q. 150.00,"Q. 8,563.16"
3/6/24,Q. 110.00,"Q. 8,673.16"
3/9/24,Q. 99.00,"Q. 18,231.91"
3/9/24,Q. 6.00,"Q. 18,237.91"
3/9/24,Q. 246.96,"Q. 18,484.87"
3/9/24,Q. 16.00,"Q. 18,500.87"
3/9/24,Q. 16.00,"Q. 18,516.87"
3/9/24,Q. 15.00,"Q. 18,531.87"
3/9/24,Q. 11.00,"Q. 18,542.87"
3/9/24,Q. 20.00,"Q. 18,562.87"
3/9/24,Q. 10.00,"Q. 18,572.87"
3/9/24,"Q. 14,817.70","Q. 3,755.17"
3/10/24,Q. 11.00,"Q. 15,369.34"
4/4/24,Q. 55.45,"Q. 13,676.66"
4/4/24,Q. 6.00,"Q. 13,682.66"
4/4/24,Q. 6.00,"Q. 13,688.66"
4/4/24,Q. 93.00,"Q. 13,781.66"
4/6/24,Q. 30.00,"Q. 9,001.95"
4/6/24,Q. 151.00,"Q. 9,152.95"
4/9/24,Q. 125.00,"Q. 3,880.17"
4/10/24,Q. 123.69,"Q. 3,206.70"
4/10/24,Q. 317.00,"Q. 3,523.70"
4/11/24,Q. 544.64,"Q. 1,462.00"
4/11/24,Q. 65.36,"Q. 1,396.64"
4/11/24,Q. 544.64,"Q. 1,941.28"
4/11/24,Q. 65.36,"Q. 2,006.64"
4/11/24,Q. 175.30,"Q. 2,181.94"
4/11/24,Q. 190.00,"Q. 2,371.94"
4/11/24,Q. 248.35,"Q. 2,620.29"
4/11/24,Q. 195.00,"Q. 2,815.29"
4/11/24,Q. 168.99,"Q. 2,984.28"
4/11/24,Q. 75.00,"Q. 9,858.10"
4/11/24,Q. 62.60,"Q. 9,920.70"
4/11/24,Q. 52.00,"Q. 9,972.70"
5/4/24,Q. 26.79,"Q. 13,808.45"
5/4/24,Q. 3.21,"Q. 13,811.66"
5/4/24,"Q. 1,119.20","Q. 14,930.86"
5/5/24,Q. 26.79,"Q. 11,731.40"
5/5/24,Q. 3.21,"Q. 11,734.61"
5/6/24,Q. 26.79,"Q. 9,179.74"
5/6/24,Q. 3.21,"Q. 9,182.95"
5/7/24,Q. 26.79,"Q. 13,018.85"
5/7/24,Q. 3.21,"Q. 13,022.06"
5/7/24,Q. 100.00,"Q. 13,122.06"
5/8/24,Q. 26.79,"Q. 13,550.22"
5/8/24,Q. 3.21,"Q. 13,553.43"
5/8/24,Q. 13.00,"Q. 13,566.43"
5/8/24,Q. 18.00,"Q. 13,584.43"
5/8/24,Q. 187.05,"Q. 13,771.48"
5/8/24,Q. 72.00,"Q. 13,843.48"
5/8/24,Q. 76.00,"Q. 13,919.48"
5/8/24,Q. 212.55,"Q. 16,180.95"
5/8/24,Q. 168.00,"Q. 16,348.95"
5/8/24,Q. 11.00,"Q. 16,359.95"
5/8/24,Q. 25.00,"Q. 16,384.95"
5/9/24,Q. 26.79,"Q. 3,906.96"
5/9/24,Q. 3.21,"Q. 3,910.17"
5/9/24,Q. 35.00,"Q. 3,945.17"
5/9/24,Q. 99.00,"Q. 4,044.17"
